name,decision,note
Herlev,lev,"Dokumenteret -lev-navn; medtages eksplicit for at fastholde vurderingen."
Ballerup,torp,"Ældre Balloprop; sikker -torp-form trods slidt forled."
Gladsaxe,none,"Ender ikke på en dateret endelse; -saxe er et personnavn."
Hillerød,roed,"Dokumenteret rydningsnavn."
Rødby,by,"Forleddet er rød-; endelsen er -by, ikke -rød."
Rødovre,none,"Endelsen er -ovre (over), ikke -rød."
Skovlunde,none,"Endelsen er -lunde, ikke -skov; forleddet er skov-."
Gårdbo,none,"Gård- er forled, ikke endelse."
Havdrup,torp,"Sikker -drup-form."
Bagsværd,none,"Endelsen er -sværd/-værd (holm), ikke en dateret endelse."
