evidence_id,location_id,source_id,source_property,source_statement,interpretation
Q10512684:current:wikidata-p625,Q10512684:current,wikidata:Q10512684,P625,"Wikidata angiver P625: 55.537971007, 11.225660401.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR237:current:wikidata-p625,DR237:current,wikidata:Q12301173,P625,"Wikidata angiver P625: 55.4045, 11.6651.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DREM85306:current:wikidata-p625,DREM85306:current,wikidata:Q12302329,P625,"Wikidata angiver P625: 56.4469, 9.425.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR189:current:wikidata-p625,DR189:current,wikidata:Q12302557,P625,"Wikidata angiver P625: 55.35444444, 10.71305556.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DRAUD1996274:current:wikidata-p625,DRAUD1996274:current,wikidata:Q12303698,P625,"Wikidata angiver P625: 56.379, 9.62264.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DRAUD1995279:current:wikidata-p625,DRAUD1995279:current,wikidata:Q12304199,P625,"Wikidata angiver P625: 56.5048, 9.98541.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR219:current:wikidata-p625,DR219:current,wikidata:Q12304321,P625,"Wikidata angiver P625: 55.6745, 12.5742.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR29:current:wikidata-p625,DR29:current,wikidata:Q12304773,P625,"Wikidata angiver P625: 55.56910437, 9.137001759.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR30:current:wikidata-p625,DR30:current,wikidata:Q12304774,P625,"Wikidata angiver P625: 55.5819, 9.14472.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR125:current:wikidata-p625,DR125:current,wikidata:Q12307054,P625,"Wikidata angiver P625: 56.6203, 10.1951.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR37:current:wikidata-p625,DR37:current,wikidata:Q12309511,P625,"Wikidata angiver P625: 55.6199, 9.3004.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DREM85523B:current:wikidata-p625,DREM85523B:current,wikidata:Q12311099,P625,"Wikidata angiver P625: 56.7741, 9.339.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR145:current:wikidata-p625,DR145:current,wikidata:Q12311245,P625,"Wikidata angiver P625: 56.9511, 9.89722.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR238:current:wikidata-p625,DR238:current,wikidata:Q12311487,P625,"Wikidata angiver P625: 55.43349, 11.68745.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR132:current:wikidata-p625,DR132:current,wikidata:Q12311539,P625,"Wikidata angiver P625: 56.8663, 9.34227.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR193:findspot:wikidata-p189,DR193:findspot,wikidata:Q12311542,P189,Wikidata angiver location of discovery: Flemløse,"Udsagnet støtter fundsted, men ikke oprindeligt opstillingssted."
DR193:current:wikidata-p625,DR193:current,wikidata:Q12311542,P625,"Wikidata angiver P625: 55.8609, 11.9678.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR192:findspot:wikidata-p189,DR192:findspot,wikidata:Q12311543,P189,Wikidata angiver location of discovery: Flemløse,"Udsagnet støtter fundsted, men ikke oprindeligt opstillingssted."
DR192:current:wikidata-p625,DR192:current,wikidata:Q12311543,P625,"Wikidata angiver P625: 55.8566, 11.9787.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR130:current:wikidata-p625,DR130:current,wikidata:Q12313944,P625,"Wikidata angiver P625: 56.8294, 9.58213.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR122:current:wikidata-p625,DR122:current,wikidata:Q12314022,P625,"Wikidata angiver P625: 55.6745, 12.5742.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR123:current:wikidata-p625,DR123:current,wikidata:Q12314023,P625,"Wikidata angiver P625: 56.5842, 9.85189.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR91:current:wikidata-p625,DR91:current,wikidata:Q12314289,P625,"Wikidata angiver P625: 56.420765278, 9.924135083.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR144:current:wikidata-p625,DR144:current,wikidata:Q12314604,P625,"Wikidata angiver P625: 56.94146, 10.01487.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR53:findspot:wikidata-p189,DR53:findspot,wikidata:Q12314730,P189,Wikidata angiver location of discovery: Gylling,"Udsagnet støtter fundsted, men ikke oprindeligt opstillingssted."
DR53:current:wikidata-p625,DR53:current,wikidata:Q12314730,P625,"Wikidata angiver P625: 55.8903, 10.1645.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR70:current:wikidata-p625,DR70:current,wikidata:Q12315109,P625,"Wikidata angiver P625: 56.2554, 9.86304.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR190:current:wikidata-p625,DR190:current,wikidata:Q12316151,P625,"Wikidata angiver P625: 55.674861, 12.575547.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR77:current:wikidata-p625,DR77:current,wikidata:Q12316896,P625,"Wikidata angiver P625: 56.395807092, 9.681838798.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR127:current:wikidata-p625,DR127:current,wikidata:Q12316975,P625,"Wikidata angiver P625: 56.6386, 9.79339.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR34:current:wikidata-p625,DR34:current,wikidata:Q12317220,P625,"Wikidata angiver P625: 55.72406, 8.53014.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR150:current:wikidata-p625,DR150:current,wikidata:Q12317476,P625,"Wikidata angiver P625: 56.754084745, 8.425803504.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR160:current:wikidata-p625,DR160:current,wikidata:Q12319704,P625,"Wikidata angiver P625: 57.2109, 9.66958.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DREM85308:current:wikidata-p625,DREM85308:current,wikidata:Q12322131,P625,"Wikidata angiver P625: 56.60389417, 9.64676369.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR86:current:wikidata-p625,DR86:current,wikidata:Q12323762,P625,"Wikidata angiver P625: 56.39472415, 9.891636997.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR140:current:wikidata-p625,DR140:current,wikidata:Q12325231,P625,"Wikidata angiver P625: 56.8438, 10.0434.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
DR211:current:wikidata-p625,DR211:current,wikidata:Q12329667,P625,"Wikidata angiver P625: 55.57329, 10.28354.","Foreløbigt klassificeret som nuværende placering, ikke som fundsted."
