link_id,stone_id,observation_id,method,confidence,rationale,review_status
DR389:fortidsminder:17,DR389,fortidsminder:17,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR372:fortidsminder:310,DR372,fortidsminder:310,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR403:fortidsminder:1167,DR403,fortidsminder:1167,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR401:fortidsminder:1272,DR401,fortidsminder:1272,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR383:fortidsminder:1679,DR383,fortidsminder:1679,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR384:fortidsminder:1679,DR384,fortidsminder:1679,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR385:fortidsminder:1679,DR385,fortidsminder:1679,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR386:fortidsminder:1679,DR386,fortidsminder:1679,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR387:fortidsminder:1679,DR387,fortidsminder:1679,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR388:fortidsminder:1679,DR388,fortidsminder:1679,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR390:fortidsminder:2121,DR390,fortidsminder:2121,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR393:fortidsminder:2159,DR393,fortidsminder:2159,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR209:fortidsminder:5907,DR209,fortidsminder:5907,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR129:fortidsminder:23562,DR129,fortidsminder:23562,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR135:fortidsminder:24077,DR135,fortidsminder:24077,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR134:fortidsminder:29096,DR134,fortidsminder:29096,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR131:fortidsminder:29537,DR131,fortidsminder:29537,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DREM85308:fortidsminder:38896,DREM85308,fortidsminder:38896,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR96:fortidsminder:42148,DR96,fortidsminder:42148,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR97:fortidsminder:42148,DR97,fortidsminder:42148,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR114:fortidsminder:42889,DR114,fortidsminder:42889,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR40:fortidsminder:60322,DR40,fortidsminder:60322,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR26:fortidsminder:74632,DR26,fortidsminder:74632,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR15:fortidsminder:86273,DR15,fortidsminder:86273,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR228:fortidsminder:91457,DR228,fortidsminder:91457,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR192:fortidsminder:92616,DR192,fortidsminder:92616,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
