location_id,stone_id,role,label,lon,lat,coordinate_method,uncertainty_m,confidence,is_estimate,rationale,review_status
Q10512684:original,Q10512684,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
Q10512684:findspot,Q10512684,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
Q10512684:current,Q10512684,current_location,Gørlev Kirke,11.225660401,55.537971007,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR120:original,DR120,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR120:findspot,DR120,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR120:current,DR120,current_location,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om current_location.,needs_review
DR237:original,DR237,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR237:findspot,DR237,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR237:current,DR237,current_location,Alsted Kirke,11.6651,55.4045,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DREM85306:original,DREM85306,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DREM85306:findspot,DREM85306,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
