observation_id,source_id,source_record_id,feature_type,label,lon,lat,source_statement,interpretation,review_status
fortidsminder:17,fortidsminder:17,17,Skåltegn,"Stednr. 060302, lokalnr. 94",14.76896159,55.13935801,"Anlægstype Skåltegn; systemnr 17; stednr 060302; loknr 94; koordinat 55.13935801, 14.76896159.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
fortidsminder:310,fortidsminder:310,310,Runesten,"Stednr. 060206, lokalnr. 73",14.9295929,55.06271176,"Anlægstype Runesten; systemnr 310; stednr 060206; loknr 73; koordinat 55.06271176, 14.9295929.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
fortidsminder:1167,fortidsminder:1167,1167,Runesten,"Stednr. 060104, lokalnr. 96",14.80300876,55.17511419,"Anlægstype Runesten; systemnr 1167; stednr 060104; loknr 96; koordinat 55.17511419, 14.80300876.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
fortidsminder:1272,fortidsminder:1272,1272,Runesten,"Stednr. 060104, lokalnr. 19",14.73300744,55.17720362,"Anlægstype Runesten; systemnr 1272; stednr 060104; loknr 19; koordinat 55.17720362, 14.73300744.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
fortidsminder:1679,fortidsminder:1679,1679,Runesten,"Stednr. 060305, lokalnr. 118",14.82461881,55.1057792,"Anlægstype Runesten; systemnr 1679; stednr 060305; loknr 118; koordinat 55.1057792, 14.82461881.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
fortidsminder:2121,fortidsminder:2121,2121,Runesten,"Stednr. 060406, lokalnr. 80",15.01599471,55.13807353,"Anlægstype Runesten; systemnr 2121; stednr 060406; loknr 80; koordinat 55.13807353, 15.01599471.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
fortidsminder:2159,fortidsminder:2159,2159,Runesten,"Stednr. 060406, lokalnr. 117",15.04526767,55.13089291,"Anlægstype Runesten; systemnr 2159; stednr 060406; loknr 117; koordinat 55.13089291, 15.04526767.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
fortidsminder:5907,fortidsminder:5907,5907,Runesten,"Stednr. 080507, lokalnr. 11",10.29300992,55.50966508,"Anlægstype Runesten; systemnr 5907; stednr 080507; loknr 11; koordinat 55.50966508, 10.29300992.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
fortidsminder:23562,fortidsminder:23562,23562,Runesten,"Stednr. 120203, lokalnr. 46",9.63282909,56.70377957,"Anlægstype Runesten; systemnr 23562; stednr 120203; loknr 46; koordinat 56.70377957, 9.63282909.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
fortidsminder:24077,fortidsminder:24077,24077,Runesten,"Stednr. 120208, lokalnr. 92",9.58970783,56.75047466,"Anlægstype Runesten; systemnr 24077; stednr 120208; loknr 92; koordinat 56.75047466, 9.58970783.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
fortidsminder:29096,fortidsminder:29096,29096,Rundhøj,"Stednr. 120810, lokalnr. 12",9.75646587,56.75521627,"Anlægstype Rundhøj; systemnr 29096; stednr 120810; loknr 12; koordinat 56.75521627, 9.75646587.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
fortidsminder:29537,fortidsminder:29537,29537,Runesten,"Stednr. 120814, lokalnr. 164",9.51379237,56.80485967,"Anlægstype Runesten; systemnr 29537; stednr 120814; loknr 164; koordinat 56.80485967, 9.51379237.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
fortidsminder:34374,fortidsminder:34374,34374,Runesten,"Stednr. 130512, lokalnr. 81",9.71576283,56.30576189,"Anlægstype Runesten; systemnr 34374; stednr 130512; loknr 81; koordinat 56.30576189, 9.71576283.",Autoritativ registerobservation. En lokalitet kan beskrive flere sten eller en historisk fase og er derfor ikke automatisk en stenidentitet.,needs_review
