source_id,title,publisher,url,license,accessed_at
wikidata:Q10512684,Wikidata-entitet Q10512684,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q10512684.json,CC0 1.0,2026-09-07
wikidata:Q111181504,Wikidata-entitet Q111181504,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q111181504.json,CC0 1.0,2026-09-07
wikidata:Q12301173,Wikidata-entitet Q12301173,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12301173.json,CC0 1.0,2026-09-07
wikidata:Q12302329,Wikidata-entitet Q12302329,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12302329.json,CC0 1.0,2026-09-07
wikidata:Q12302557,Wikidata-entitet Q12302557,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12302557.json,CC0 1.0,2026-09-07
wikidata:Q12303698,Wikidata-entitet Q12303698,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12303698.json,CC0 1.0,2026-09-07
wikidata:Q12304199,Wikidata-entitet Q12304199,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12304199.json,CC0 1.0,2026-09-07
wikidata:Q12304321,Wikidata-entitet Q12304321,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12304321.json,CC0 1.0,2026-09-07
wikidata:Q12304773,Wikidata-entitet Q12304773,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12304773.json,CC0 1.0,2026-09-07
wikidata:Q12304774,Wikidata-entitet Q12304774,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12304774.json,CC0 1.0,2026-09-07
wikidata:Q12307054,Wikidata-entitet Q12307054,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12307054.json,CC0 1.0,2026-09-07
wikidata:Q12309511,Wikidata-entitet Q12309511,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12309511.json,CC0 1.0,2026-09-07
wikidata:Q12311099,Wikidata-entitet Q12311099,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12311099.json,CC0 1.0,2026-09-07
wikidata:Q12311245,Wikidata-entitet Q12311245,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12311245.json,CC0 1.0,2026-09-07
wikidata:Q12311487,Wikidata-entitet Q12311487,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12311487.json,CC0 1.0,2026-09-07
wikidata:Q12311539,Wikidata-entitet Q12311539,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12311539.json,CC0 1.0,2026-09-07
wikidata:Q12311542,Wikidata-entitet Q12311542,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12311542.json,CC0 1.0,2026-09-07
wikidata:Q12311543,Wikidata-entitet Q12311543,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12311543.json,CC0 1.0,2026-09-07
wikidata:Q12313944,Wikidata-entitet Q12313944,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12313944.json,CC0 1.0,2026-09-07
wikidata:Q12314022,Wikidata-entitet Q12314022,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12314022.json,CC0 1.0,2026-09-07
wikidata:Q12314023,Wikidata-entitet Q12314023,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12314023.json,CC0 1.0,2026-09-07
wikidata:Q12314289,Wikidata-entitet Q12314289,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12314289.json,CC0 1.0,2026-09-07
wikidata:Q12314604,Wikidata-entitet Q12314604,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12314604.json,CC0 1.0,2026-09-07
wikidata:Q12314730,Wikidata-entitet Q12314730,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12314730.json,CC0 1.0,2026-09-07
wikidata:Q12315109,Wikidata-entitet Q12315109,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12315109.json,CC0 1.0,2026-09-07
wikidata:Q12316151,Wikidata-entitet Q12316151,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12316151.json,CC0 1.0,2026-09-07
wikidata:Q12316896,Wikidata-entitet Q12316896,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12316896.json,CC0 1.0,2026-09-07
wikidata:Q12316975,Wikidata-entitet Q12316975,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12316975.json,CC0 1.0,2026-09-07
wikidata:Q12317220,Wikidata-entitet Q12317220,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12317220.json,CC0 1.0,2026-09-07
wikidata:Q12317476,Wikidata-entitet Q12317476,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12317476.json,CC0 1.0,2026-09-07
wikidata:Q12319704,Wikidata-entitet Q12319704,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12319704.json,CC0 1.0,2026-09-07
wikidata:Q12322131,Wikidata-entitet Q12322131,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12322131.json,CC0 1.0,2026-09-07
wikidata:Q12323762,Wikidata-entitet Q12323762,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12323762.json,CC0 1.0,2026-09-07
wikidata:Q12325231,Wikidata-entitet Q12325231,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12325231.json,CC0 1.0,2026-09-07
wikidata:Q12329667,Wikidata-entitet Q12329667,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12329667.json,CC0 1.0,2026-09-07
wikidata:Q12332812,Wikidata-entitet Q12332812,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12332812.json,CC0 1.0,2026-09-07
wikidata:Q12332995,Wikidata-entitet Q12332995,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12332995.json,CC0 1.0,2026-09-07
wikidata:Q12332996,Wikidata-entitet Q12332996,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12332996.json,CC0 1.0,2026-09-07
wikidata:Q12333980,Wikidata-entitet Q12333980,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12333980.json,CC0 1.0,2026-09-07
wikidata:Q12333981,Wikidata-entitet Q12333981,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12333981.json,CC0 1.0,2026-09-07
wikidata:Q12333982,Wikidata-entitet Q12333982,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12333982.json,CC0 1.0,2026-09-07
wikidata:Q12333983,Wikidata-entitet Q12333983,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12333983.json,CC0 1.0,2026-09-07
wikidata:Q12333984,Wikidata-entitet Q12333984,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12333984.json,CC0 1.0,2026-09-07
wikidata:Q12334194,Wikidata-entitet Q12334194,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12334194.json,CC0 1.0,2026-09-07
wikidata:Q12335438,Wikidata-entitet Q12335438,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12335438.json,CC0 1.0,2026-09-07
wikidata:Q12335704,Wikidata-entitet Q12335704,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12335704.json,CC0 1.0,2026-09-07
wikidata:Q12335796,Wikidata-entitet Q12335796,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12335796.json,CC0 1.0,2026-09-07
wikidata:Q12336645,Wikidata-entitet Q12336645,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12336645.json,CC0 1.0,2026-09-07
wikidata:Q12336725,Wikidata-entitet Q12336725,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12336725.json,CC0 1.0,2026-09-07
wikidata:Q12336886,Wikidata-entitet Q12336886,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12336886.json,CC0 1.0,2026-09-07
wikidata:Q12337097,Wikidata-entitet Q12337097,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12337097.json,CC0 1.0,2026-09-07
wikidata:Q12337665,Wikidata-entitet Q12337665,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12337665.json,CC0 1.0,2026-09-07
wikidata:Q12338391,Wikidata-entitet Q12338391,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12338391.json,CC0 1.0,2026-09-07
wikidata:Q12338392,Wikidata-entitet Q12338392,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12338392.json,CC0 1.0,2026-09-07
wikidata:Q12338394,Wikidata-entitet Q12338394,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12338394.json,CC0 1.0,2026-09-07
wikidata:Q12338415,Wikidata-entitet Q12338415,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12338415.json,CC0 1.0,2026-09-07
wikidata:Q12339965,Wikidata-entitet Q12339965,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12339965.json,CC0 1.0,2026-09-07
wikidata:Q12340769,Wikidata-entitet Q12340769,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12340769.json,CC0 1.0,2026-09-07
wikidata:Q12341160,Wikidata-entitet Q12341160,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12341160.json,CC0 1.0,2026-09-07
wikidata:Q12342089,Wikidata-entitet Q12342089,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12342089.json,CC0 1.0,2026-09-07
wikidata:Q12342090,Wikidata-entitet Q12342090,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12342090.json,CC0 1.0,2026-09-07
wikidata:Q12342108,Wikidata-entitet Q12342108,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12342108.json,CC0 1.0,2026-09-07
wikidata:Q12342840,Wikidata-entitet Q12342840,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12342840.json,CC0 1.0,2026-09-07
wikidata:Q12343216,Wikidata-entitet Q12343216,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12343216.json,CC0 1.0,2026-09-07
wikidata:Q12344293,Wikidata-entitet Q12344293,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12344293.json,CC0 1.0,2026-09-07
wikidata:Q12344366,Wikidata-entitet Q12344366,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q12344366.json,CC0 1.0,2026-09-07
wikidata:Q124959546,Wikidata-entitet Q124959546,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q124959546.json,CC0 1.0,2026-09-07
wikidata:Q1308371,Wikidata-entitet Q1308371,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q1308371.json,CC0 1.0,2026-09-07
wikidata:Q131555051,Wikidata-entitet Q131555051,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q131555051.json,CC0 1.0,2026-09-07
wikidata:Q15052246,Wikidata-entitet Q15052246,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q15052246.json,CC0 1.0,2026-09-07
wikidata:Q1517645,Wikidata-entitet Q1517645,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q1517645.json,CC0 1.0,2026-09-07
wikidata:Q1557260,Wikidata-entitet Q1557260,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q1557260.json,CC0 1.0,2026-09-07
wikidata:Q1578728,Wikidata-entitet Q1578728,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q1578728.json,CC0 1.0,2026-09-07
wikidata:Q1605736,Wikidata-entitet Q1605736,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q1605736.json,CC0 1.0,2026-09-07
wikidata:Q16325069,Wikidata-entitet Q16325069,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q16325069.json,CC0 1.0,2026-09-07
wikidata:Q16325175,Wikidata-entitet Q16325175,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q16325175.json,CC0 1.0,2026-09-07
wikidata:Q1685112,Wikidata-entitet Q1685112,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q1685112.json,CC0 1.0,2026-09-07
wikidata:Q1719751,Wikidata-entitet Q1719751,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q1719751.json,CC0 1.0,2026-09-07
wikidata:Q17489421,Wikidata-entitet Q17489421,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q17489421.json,CC0 1.0,2026-09-07
wikidata:Q19978705,Wikidata-entitet Q19978705,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q19978705.json,CC0 1.0,2026-09-07
wikidata:Q21162313,Wikidata-entitet Q21162313,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q21162313.json,CC0 1.0,2026-09-07
wikidata:Q21162316,Wikidata-entitet Q21162316,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q21162316.json,CC0 1.0,2026-09-07
wikidata:Q21505005,Wikidata-entitet Q21505005,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q21505005.json,CC0 1.0,2026-09-07
wikidata:Q2176365,Wikidata-entitet Q2176365,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q2176365.json,CC0 1.0,2026-09-07
wikidata:Q2176377,Wikidata-entitet Q2176377,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q2176377.json,CC0 1.0,2026-09-07
wikidata:Q2176380,Wikidata-entitet Q2176380,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q2176380.json,CC0 1.0,2026-09-07
wikidata:Q2176383,Wikidata-entitet Q2176383,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q2176383.json,CC0 1.0,2026-09-07
wikidata:Q2176389,Wikidata-entitet Q2176389,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q2176389.json,CC0 1.0,2026-09-07
wikidata:Q2176394,Wikidata-entitet Q2176394,Wikimedia Foundation / Wikidata-bidragydere,https://www.wikidata.org/wiki/Special:EntityData/Q2176394.json,CC0 1.0,2026-09-07
