stone_id,dr_number,wikidata_id,runor_id,name,period,scope,survival_status,record_status,record_note
Q10512684,,Q10512684,,Gørlevstenene,vikingetid,present_day_denmark,unknown,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu."
DR120,DR 120,Q111181504,21259d8d-1421-4140-a8a3-dad7b66e3bb7,Spentrupstenen 2,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR237,DR 237,Q12301173,3cc0fd94-63c2-4ebd-a2fd-4ce448071612,Alsted-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DREM85306,DR EM85;306,Q12302329,ca550df5-c831-4e9f-a6c4-b11a5e99c022,Asmildstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR189,DR 189,Q12302557,ea7d7d53-5dfb-4e58-99e3-ec98d0e11185,Avnslevstenen,vikingetid,present_day_denmark,lost,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DRAUD1996274,DR AUD1996;274,Q12303698,90f37304-0851-4cfb-8f04-97896243d985,Bjerring-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DRAUD1995279,DR AUD1995;279,Q12304199,75497ef9-ca0c-4498-a01e-6e50f592bc1f,Borup-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR219,DR 219,Q12304321,42ff2fa4-5d8b-4975-bbdf-fabd7b492eb3,Bregningestenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR29,DR 29,Q12304773,45ab61be-ccb7-4fbb-a5e8-f600dd68d43c,Bække-stenen 1,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR30,DR 30,Q12304774,2352febb-d4ae-4a50-91e3-2eced5194b9e,Bække-stenen 2,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR125,DR 125,Q12307054,b92f059d-c887-4f05-89f0-1fbf025df034,Dalbyover-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR37,DR 37,Q12309511,0fc79c74-f8a1-4fc4-9a1f-d142ed160dc2,Egtved-runestenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DREM85523B,DR EM85;523B,Q12311099,78f4d2dd-fe83-40fe-a432-6ffe5b412130,Farsøstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
